3;99;9;Ondersteunende activiteiten in verband met de overige winning van delfstoffen;Activit�s de soutien aux autres industries extractives;Erbringung von Dienstleistungen f�r den sonstigen Bergbau und die Gewinnung von Steinen und Erden;Support activities for other mining and quarrying
3;101;10;Verwerking en conservering van vlees en vervaardiging van vleesproducten;"Transformation et conservation de la viande; pr�paration de produits � base de viande";Schlachten und Fleischverarbeitung;Processing and preserving of meat and production of meat products
3;102;10;Verwerking en conservering van vis en van schaal- en weekdieren;Transformation et conservation de poisson, de crustac�s et de mollusques;Fischverarbeitung;Processing and preserving of fish, crustaceans and molluscs
3;103;10;Verwerking en conservering van groenten en fruit;Transformation et conservation de fruits et de l�gumes;Obst- und Gem�severarbeitung;Processing and preserving of fruit and vegetables
3;104;10;Vervaardiging van plantaardige en dierlijke oli�n en vetten;Fabrication d'huiles et de graisses v�g�tales et animales;Herstellung von pflanzlichen und tierischen �len und Fetten;Manufacture of vegetable and animal oils and fats
3;105;10;Vervaardiging van zuivelproducten;Fabrication de produits laitiers;Milchverarbeitung;Manufacture of dairy products
3;106;10;Vervaardiging van maalderijproducten, zetmeel en zetmeelproducten;"Travail des grains; fabrication de produits amylac�s";Mahl- und Sch�lm�hlen, Herstellung von St�rke und St�rkeerzeugnissen;Manufacture of grain mill products, starches and starch products
3;107;10;Vervaardiging van bakkerijproducten en deegwaren;Fabrication de produits de boulangerie-p�tisserie et de p�tes alimentaires;Herstellung von Back- und Teigwaren;Manufacture of bakery and farinaceous products
3;108;10;Vervaardiging van andere voedingsmiddelen;Fabrication d'autres produits alimentaires;Herstellung von sonstigen Nahrungsmitteln;Manufacture of other food products
3;109;10;Vervaardiging van diervoeders;Fabrication d'aliments pour animaux;Herstellung von Futtermitteln;Manufacture of prepared animal feeds
3;110;11;Vervaardiging van dranken;Fabrication de boissons;Getr�nkeherstellung;Manufacture of beverages
3;120;12;Vervaardiging van tabaksproducten;Fabrication de produits � base de tabac;Tabakverarbeitung;Manufacture of tobacco products
3;131;13;Bewerken en spinnen van textielvezels;Pr�paration de fibres textiles et filature;Spinnstoffaufbereitung und Spinnerei;Preparation and spinning of textile fibres
3;132;13;Weven van textiel;Tissage;Weberei;Weaving of textiles
3;133;13;Textielveredeling;Ennoblissement textile;Veredlung von Textilien und Bekleidung;Finishing of textiles
3;139;13;Vervaardiging van andere textielproducten;Fabrication d'autres textiles;Herstellung von sonstigen Textilwaren;Manufacture of other textiles
3;141;14;Vervaardiging van kleding, exclusief bontkleding;Fabrication de v�tements autres qu'en fourrure;Herstellung von Bekleidung (ohne Pelzbekleidung);Manufacture of wearing apparel, except fur apparel
3;142;14;Vervaardiging van artikelen van bont;Fabrication d'articles en fourrure;Herstellung von Pelzwaren;Manufacture of articles of fur
3;143;14;Vervaardiging van gebreide en gehaakte kleding;Fabrication d'articles � mailles;Herstellung von Bekleidung aus gewirktem und gestricktem Stoff;Manufacture of knitted and crocheted apparel
3;151;15;"Looien en bewerken van leer; vervaardiging van koffers, tassen, zadel- en tuigmakerswerk; bereiden en verven van bont";"Appr�t et tannage des cuirs; pr�paration et teinture des fourrures; fabrication d'articles de voyage, de maroquinerie et de sellerie";Herstellung von Leder und Lederwaren (ohne Herstellung von Lederbekleidung);"Tanning and dressing of leather; manufacture of luggage, handbags,saddlery and harness; dressing and dyeing of fur"
3;152;15;Vervaardiging van schoeisel;Fabrication de chaussures;Herstellung von Schuhen;Manufacture of footwear
3;161;16;Zagen en schaven van hout;Sciage et rabotage du bois;S�ge-, Hobel- und Holzimpr�gnierwerke;Sawmilling and planing of wood
3;162;16;Vervaardiging van artikelen van hout, kurk, riet of vlechtwerk;Fabrication d'articles en bois, li�ge, vannerie et sparterie;Herstellung von sonstigen Holz-, Kork-, Flecht- und Korbwaren (ohne M�bel);Manufacture of products of wood, cork, straw and plaiting materials
3;171;17;Vervaardiging van papierpulp, papier en karton;Fabrication de p�te � papier, de papier et de carton;Herstellung von Holz- und Zellstoff, Papier, Karton und Pappe;Manufacture of pulp, paper and paperboard
3;172;17;Vervaardiging van artikelen van papier of karton;Fabrication d'articles en papier ou en carton;Herstellung von Waren aus Papier, Karton und Pappe;Manufacture of articles of paper and paperboard
3;181;18;Drukkerijen en diensten in verband met drukkerijen;Imprimerie et services annexes;Herstellung von Druckerzeugnissen;Printing and service activities related to printing
3;182;18;Reproductie van opgenomen media;Reproduction d'enregistrements;Vervielf�ltigung von bespielten Ton-, Bild- und Datentr�gern;Reproduction of recorded media
3;191;19;Vervaardiging van cokesovenproducten;Cok�faction;Kokerei;Manufacture of coke oven products
3;192;19;Vervaardiging van geraffineerde aardolieproducten;Raffinage du p�trole;Mineral�lverarbeitung;Manufacture of refined petroleum products
3;201;20;Vervaardiging van chemische basisproducten, kunstmeststoffen en stikstofverbindingen en van kunststoffen en synthetische rubber in primaire vormen;Fabrication de produits chimiques de base, de produits azot�s et d'engrais, de mati�res plastiques de base et de caoutchouc synth�tique;Herstellung von chemischen Grundstoffen, D�ngemitteln und Stickstoffverbindungen, Kunststoffen in Prim�rformen und synthetischem Kautschuk in Prim�rformen;Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms
3;202;20;Vervaardiging van verdelgingsmiddelen en van andere chemische producten voor de landbouw;Fabrication de pesticides et d'autres produits agrochimiques;Herstellung von Sch�dlingsbek�mpfungs-, Pflanzenschutz- und Desinfektionsmitteln;Manufacture of pesticides and other agrochemical products
